Título,IMEI 1,IMEI 2,Serial,% Bateria,Observações
iPhone 14 Pro Max 256GB Dourado Novo,123456789012345,,F2LLXXXXXXX,100,Caixa lacrada
iPhone 13 128GB Azul Seminovo,234567890123456,,F2LLXXXXXXY,85,Pequeno risco na tela
Samsung Galaxy S23 256GB Preto Usado,345678901234567,,R58XXXXXXXX,78,Bateria original
iPhone 15 Pro 512GB Preto Novo,456789012345678,,F2LLXXXXXXZ,100,Nota fiscal incluída
iPhone 12 64GB Branco Seminovo,567890123456789,,F2LLXXXXXXW,90,Sem carregador
Motorola Edge 40 256GB Azul Novo,678901234567890,,MOTOXXXXXXA,95,Garantia de 1 ano
Samsung Galaxy A54 128GB Verde Seminovo,789012345678901,,SAMSUNG123B,82,Em perfeito estado
iPhone SE 2022 128GB Vermelho Novo,890123456789012,,F2LLXXXXXXV,100,Product RED
Xiaomi Redmi Note 12 128GB Preto Usado,901234567890123,,XIAOMI789C,70,Pequena trinca traseira
iPhone 11 128GB Roxo Seminovo,012345678901234,,F2LLXXXXXXU,88,Bateria substituída